Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,3452,0.693,0.232,100.0,3.824,100.0,0.946,0.29,38,0.288,92,0.028,94,0.712
Top 1% Risk,,,34,0.5,0.857,6.818,26.471,6.818,0.265,0.419,9,1.0,25,1.0,0,0.0
Top 5% Risk,,,172,0.562,0.759,34.091,26.163,34.091,0.424,0.434,38,0.844,92,0.724,7,0.156
Overall,Health Insurance,Medicare,3452,0.693,0.232,100.0,3.824,100.0,0.946,0.29,38,0.288,92,0.028,94,0.712
Top 1% Risk,Health Insurance,Medicare,34,0.5,0.857,6.818,26.471,6.818,0.265,0.419,9,1.0,25,1.0,0,0.0
Top 5% Risk,Health Insurance,Medicare,172,0.562,0.759,34.091,26.163,34.091,0.424,0.434,38,0.844,92,0.724,7,0.156
