Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,20610,0.711,0.169,100.0,1.64,100.0,0.971,0.117,39,0.115,289,0.014,299,0.885
Top 1% Risk,,,206,0.53,0.95,5.917,9.709,5.917,0.097,0.177,20,1.0,186,1.0,0,0.0
Top 5% Risk,,,1030,0.638,0.559,21.598,7.087,21.598,0.686,0.195,39,0.534,289,0.302,34,0.466
Overall,Age:SPD,35-49 Years Old:No,20610,0.711,0.169,100.0,1.64,100.0,0.971,0.117,39,0.115,289,0.014,299,0.885
Top 1% Risk,Age:SPD,35-49 Years Old:No,206,0.53,0.95,5.917,9.709,5.917,0.097,0.177,20,1.0,186,1.0,0,0.0
Top 5% Risk,Age:SPD,35-49 Years Old:No,1030,0.638,0.559,21.598,7.087,21.598,0.686,0.195,39,0.534,289,0.302,34,0.466
