Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,4524,0.807,0.249,100.0,4.797,100.0,0.937,0.349,76,0.35,142,0.033,141,0.65
Top 1% Risk,,,45,0.5,0.76,8.756,42.222,8.756,0.422,0.594,19,1.0,26,1.0,0,0.0
Top 5% Risk,,,226,0.513,0.8,36.866,35.398,36.866,0.354,0.51,76,0.95,142,0.973,4,0.05
Overall,Race,NonHisp Asian,4524,0.807,0.249,100.0,4.797,100.0,0.937,0.349,76,0.35,142,0.033,141,0.65
Top 1% Risk,Race,NonHisp Asian,45,0.5,0.76,8.756,42.222,8.756,0.422,0.594,19,1.0,26,1.0,0,0.0
Top 5% Risk,Race,NonHisp Asian,226,0.513,0.8,36.866,35.398,36.866,0.354,0.51,76,0.95,142,0.973,4,0.05
