Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,16962,0.688,0.269,100.0,6.615,100.0,0.927,0.181,136,0.121,245,0.015,986,0.879
Top 1% Risk,,,169,0.5,0.81,5.169,34.32,5.169,0.343,0.511,58,1.0,111,1.0,0,0.0
Top 5% Risk,,,848,0.578,0.651,22.549,29.835,22.549,0.573,0.429,136,0.538,245,0.412,117,0.462
Overall,Urban Residence,Nonmetropolitan,16962,0.688,0.269,100.0,6.615,100.0,0.927,0.181,136,0.121,245,0.015,986,0.879
Top 1% Risk,Urban Residence,Nonmetropolitan,169,0.5,0.81,5.169,34.32,5.169,0.343,0.511,58,1.0,111,1.0,0,0.0
Top 5% Risk,Urban Residence,Nonmetropolitan,848,0.578,0.651,22.549,29.835,22.549,0.573,0.429,136,0.538,245,0.412,117,0.462
