Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,4358,0.689,0.293,100.0,7.228,100.0,0.914,0.226,55,0.175,116,0.029,260,0.825
Top 1% Risk,,,43,0.5,0.792,5.079,37.209,5.079,0.372,0.542,16,1.0,27,1.0,0,0.0
Top 5% Risk,,,217,0.507,0.775,22.54,32.719,22.54,0.392,0.455,55,0.775,116,0.795,16,0.225
Overall,Health Insurance,Other,4358,0.689,0.293,100.0,7.228,100.0,0.914,0.226,55,0.175,116,0.029,260,0.825
Top 1% Risk,Health Insurance,Other,43,0.5,0.792,5.079,37.209,5.079,0.372,0.542,16,1.0,27,1.0,0,0.0
Top 5% Risk,Health Insurance,Other,217,0.507,0.775,22.54,32.719,22.54,0.392,0.455,55,0.775,116,0.795,16,0.225
