Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,15147,0.728,0.558,100.0,8.992,100.0,0.688,0.292,974,0.715,4331,0.314,388,0.285
Top 1% Risk,,,151,0.5,0.899,2.129,19.205,2.129,0.192,0.322,29,1.0,122,1.0,0,0.0
Top 5% Risk,,,757,0.5,0.906,9.912,17.834,9.912,0.178,0.303,135,1.0,622,1.0,0,0.0
Overall,Health Insurance,Medicaid/CHIP,15147,0.728,0.558,100.0,8.992,100.0,0.688,0.292,974,0.715,4331,0.314,388,0.285
Top 1% Risk,Health Insurance,Medicaid/CHIP,151,0.5,0.899,2.129,19.205,2.129,0.192,0.322,29,1.0,122,1.0,0,0.0
Top 5% Risk,Health Insurance,Medicaid/CHIP,757,0.5,0.906,9.912,17.834,9.912,0.178,0.303,135,1.0,622,1.0,0,0.0
