Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,3124,0.772,0.366,100.0,10.819,100.0,0.866,0.377,127,0.376,209,0.075,211,0.624
Top 1% Risk,,,31,0.5,0.842,2.663,29.032,2.663,0.29,0.45,9,1.0,22,1.0,0,0.0
Top 5% Risk,,,156,0.5,0.805,16.272,35.256,16.272,0.353,0.521,55,1.0,101,1.0,0,0.0
Overall,Race,NonHisp more than,3124,0.772,0.366,100.0,10.819,100.0,0.866,0.377,127,0.376,209,0.075,211,0.624
Top 1% Risk,Race,NonHisp more than,31,0.5,0.842,2.663,29.032,2.663,0.29,0.45,9,1.0,22,1.0,0,0.0
Top 5% Risk,Race,NonHisp more than,156,0.5,0.805,16.272,35.256,16.272,0.353,0.521,55,1.0,101,1.0,0,0.0
