Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,3888,0.533,0.172,100.0,2.418,100.0,0.97,0.017,1,0.011,22,0.006,93,0.989
Top 1% Risk,,,38,0.541,0.761,1.064,2.632,1.064,0.421,0.083,1,1.0,22,0.595,0,0.0
Top 5% Risk,,,194,0.525,0.359,4.255,2.062,4.255,0.871,0.074,1,0.25,22,0.116,3,0.75
Overall,BMI:SPD,Severe Obesity:No,3888,0.533,0.172,100.0,2.418,100.0,0.97,0.017,1,0.011,22,0.006,93,0.989
Top 1% Risk,BMI:SPD,Severe Obesity:No,38,0.541,0.761,1.064,2.632,1.064,0.421,0.083,1,1.0,22,0.595,0,0.0
Top 5% Risk,BMI:SPD,Severe Obesity:No,194,0.525,0.359,4.255,2.062,4.255,0.871,0.074,1,0.25,22,0.116,3,0.75
