Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,31550,0.554,0.17,100.0,2.891,100.0,0.971,0.0,0,0.0,4,0.0,912,1.0
Top 1% Risk,,,315,0.589,0.347,3.728,10.794,3.728,0.879,0.0,0,0.0,4,0.014,34,1.0
Top 5% Risk,,,1577,0.628,0.249,10.307,5.961,10.307,0.938,0.0,0,0.0,4,0.003,94,1.0
Overall,Marital Status:SPD,Never Been Married:No,31550,0.554,0.17,100.0,2.891,100.0,0.971,0.0,0,0.0,4,0.0,912,1.0
Top 1% Risk,Marital Status:SPD,Never Been Married:No,315,0.589,0.347,3.728,10.794,3.728,0.879,0.0,0,0.0,4,0.014,34,1.0
Top 5% Risk,Marital Status:SPD,Never Been Married:No,1577,0.628,0.249,10.307,5.961,10.307,0.938,0.0,0,0.0,4,0.003,94,1.0
