Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.775,0.266,100.0,6.385,100.0,0.929,0.319,1495,0.259,2106,0.025,4281,0.741
Top 1% Risk,,,904,0.5,0.75,6.839,43.695,6.839,0.437,0.608,395,1.0,509,1.0,0,0.0
Top 5% Risk,,,4523,0.541,0.728,31.06,39.664,31.06,0.468,0.554,1495,0.833,2106,0.772,299,0.167
Overall,Age,35-49 Years Old,23721,0.75,0.235,100.0,4.376,100.0,0.945,0.269,240,0.231,509,0.022,798,0.769
Top 1% Risk,Age,35-49 Years Old,237,0.5,0.801,8.189,35.865,8.189,0.359,0.528,85,1.0,152,1.0,0,0.0
Top 5% Risk,Age,35-49 Years Old,1186,0.553,0.718,33.141,29.005,33.141,0.483,0.439,240,0.698,509,0.605,104,0.302
Overall,Age,50-64 Years Old,10714,0.75,0.202,100.0,3.463,100.0,0.959,0.237,68,0.183,136,0.013,303,0.817
Top 1% Risk,Age,50-64 Years Old,107,0.5,0.809,9.973,34.579,9.973,0.346,0.514,37,1.0,70,1.0,0,0.0
Top 5% Risk,Age,50-64 Years Old,535,0.609,0.608,35.04,24.299,35.04,0.63,0.407,68,0.523,136,0.336,62,0.477
Overall,Age,65 or Older,8655,0.634,0.149,100.0,1.756,100.0,0.978,0.119,13,0.086,53,0.006,139,0.914
Top 1% Risk,Age,65 or Older,86,0.599,0.792,9.211,16.279,9.211,0.372,0.325,13,0.929,53,0.736,1,0.071
Top 5% Risk,Age,65 or Older,432,0.681,0.416,23.026,8.102,23.026,0.826,0.257,13,0.371,53,0.134,22,0.629
Overall,Age,18-25 Years Old,29281,0.781,0.329,100.0,10.553,100.0,0.892,0.348,845,0.273,920,0.035,2245,0.727
Top 1% Risk,Age,18-25 Years Old,292,0.5,0.743,4.239,44.863,4.239,0.449,0.619,131,1.0,161,1.0,0,0.0
