Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,24449,0.666,0.179,100.0,2.057,100.0,0.968,0.088,38,0.076,318,0.013,465,0.924
Top 1% Risk,,,244,0.565,0.937,5.964,12.295,5.964,0.123,0.219,30,1.0,214,1.0,0,0.0
Top 5% Risk,,,1222,0.644,0.538,15.308,6.301,15.308,0.708,0.176,38,0.494,318,0.278,39,0.506
Overall,BMI:SPD,Healthy:No,24449,0.666,0.179,100.0,2.057,100.0,0.968,0.088,38,0.076,318,0.013,465,0.924
Top 1% Risk,BMI:SPD,Healthy:No,244,0.565,0.937,5.964,12.295,5.964,0.123,0.219,30,1.0,214,1.0,0,0.0
Top 5% Risk,BMI:SPD,Healthy:No,1222,0.644,0.538,15.308,6.301,15.308,0.708,0.176,38,0.494,318,0.278,39,0.506
