Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,90469,0.801,0.275,100.0,6.385,100.0,0.924,0.344,1805,0.312,2910,0.034,3971,0.688
Top 1% Risk,,,904,0.5,0.777,6.198,39.602,6.198,0.396,0.567,358,1.0,546,1.0,0,0.0
Top 5% Risk,,,4523,0.523,0.784,30.229,38.603,30.229,0.386,0.557,1746,1.0,2777,1.0,0,0.0
Overall,Age,35-49 Years Old,23721,0.771,0.227,100.0,4.376,100.0,0.948,0.22,173,0.167,364,0.016,865,0.833
Top 1% Risk,Age,35-49 Years Old,237,0.5,0.822,7.418,32.489,7.418,0.325,0.49,77,1.0,160,1.0,0,0.0
Top 5% Risk,Age,35-49 Years Old,1186,0.594,0.642,28.805,25.211,28.805,0.587,0.414,173,0.579,364,0.41,126,0.421
Overall,Age,50-64 Years Old,10714,0.769,0.231,100.0,3.463,100.0,0.946,0.28,112,0.302,316,0.031,259,0.698
Top 1% Risk,Age,50-64 Years Old,107,0.5,0.881,6.469,22.43,6.469,0.224,0.366,24,1.0,83,1.0,0,0.0
Top 5% Risk,Age,50-64 Years Old,535,0.545,0.788,34.771,24.112,34.771,0.378,0.402,112,0.868,316,0.778,17,0.132
Overall,Age,65 or Older,8655,0.676,0.157,100.0,1.756,100.0,0.975,0.143,18,0.118,81,0.01,134,0.882
Top 1% Risk,Age,65 or Older,86,0.423,0.909,9.868,17.442,9.868,0.174,0.297,15,1.0,71,1.0,0,0.0
Top 5% Risk,Age,65 or Older,432,0.618,0.488,26.974,9.491,26.974,0.759,0.257,18,0.439,81,0.207,23,0.561
Overall,Age,18-25 Years Old,29281,0.795,0.349,100.0,10.553,100.0,0.878,0.405,1216,0.394,1697,0.065,1874,0.606
Top 1% Risk,Age,18-25 Years Old,292,0.5,0.743,4.239,44.863,4.239,0.449,0.619,131,1.0,161,1.0,0,0.0
Top 5% Risk,Age,18-25 Years Old,1464,0.5,0.747,20.906,44.126,20.906,0.441,0.612,646,1.0,818,1.0,0,0.0
Overall,Age,26-34 Years Old,18098,0.802,0.267,100.0,6.216,100.0,0.929,0.307,286,0.254,452,0.027,839,0.746
Top 1% Risk,Age,26-34 Years Old,180,0.5,0.782,6.222,38.889,6.222,0.389,0.56,70,1.0,110,1.0,0,0.0
Top 5% Risk,Age,26-34 Years Old,904,0.519,0.744,30.133,37.5,30.133,0.441,0.531,286,0.844,452,0.8,53,0.156
Overall,Gender,Male,41253,0.781,0.267,100.0,5.82,100.0,0.929,0.331,729,0.304,1274,0.033,1672,0.696
Top 1% Risk,Gender,Male,412,0.5,0.799,6.206,36.165,6.206,0.362,0.531,149,1.0,263,1.0,0,0.0
Top 5% Risk,Gender,Male,2062,0.537,0.789,31.07,36.178,31.07,0.374,0.53,729,0.977,1274,0.968,17,0.023
Overall,Gender,Female,49216,0.817,0.282,100.0,6.858,100.0,0.92,0.354,1076,0.319,1636,0.036,2299,0.681
Top 1% Risk,Gender,Female,492,0.5,0.762,6.104,41.87,6.104,0.419,0.59,206,1.0,286,1.0,0,0.0
Top 5% Risk,Gender,Female,2460,0.504,0.77,29.63,40.65,29.63,0.407,0.578,1000,1.0,1460,1.0,0,0.0
Overall,Race,NonHisp Black/Afr Am,10718,0.777,0.27,100.0,5.141,100.0,0.927,0.316,181,0.328,415,0.041,370,0.672
Top 1% Risk,Race,NonHisp Black/Afr Am,107,0.5,0.837,5.808,29.907,5.808,0.299,0.46,32,1.0,75,1.0,0,0.0
Top 5% Risk,Race,NonHisp Black/Afr Am,535,0.499,0.83,30.127,31.028,30.127,0.31,0.474,166,1.0,369,1.0,0,0.0
Overall,Race,NonHisp White,55063,0.806,0.28,100.0,6.551,100.0,0.922,0.358,1202,0.333,1913,0.037,2405,0.667
Top 1% Risk,Race,NonHisp White,550,0.5,0.787,5.794,38.0,5.794,0.38,0.551,209,1.0,341,1.0,0,0.0
Top 5% Risk,Race,NonHisp White,2753,0.506,0.776,30.33,39.738,30.33,0.397,0.569,1094,1.0,1659,1.0,0,0.0
Overall,Race,Hispanic,15374,0.808,0.256,100.0,6.075,100.0,0.934,0.305,222,0.238,299,0.021,712,0.762
Top 1% Risk,Race,Hispanic,153,0.5,0.728,7.709,47.059,7.709,0.471,0.64,72,1.0,81,1.0,0,0.0
Top 5% Risk,Race,Hispanic,768,0.565,0.705,32.762,39.844,32.762,0.501,0.537,222,0.725,299,0.647,84,0.275
Overall,Race,NonHisp more than,3124,0.782,0.362,100.0,10.819,100.0,0.868,0.335,104,0.308,178,0.064,234,0.692
Top 1% Risk,Race,NonHisp more than,31,0.5,0.718,4.438,48.387,4.438,0.484,0.652,15,1.0,16,1.0,0,0.0
Top 5% Risk,Race,NonHisp more than,156,0.5,0.793,17.16,37.179,17.16,0.372,0.542,58,1.0,98,1.0,0,0.0
Overall,Race,NonHisp Asian,4524,0.816,0.225,100.0,4.797,100.0,0.949,0.354,63,0.29,76,0.018,154,0.71
Top 1% Risk,Race,NonHisp Asian,45,0.5,0.715,10.138,48.889,10.138,0.489,0.657,22,1.0,23,1.0,0,0.0
Top 5% Risk,Race,NonHisp Asian,226,0.618,0.657,39.171,37.611,39.171,0.566,0.562,63,0.741,76,0.539,22,0.259
Overall,Race,NonHisp Native HI/Other Pac Isl,462,0.776,0.228,100.0,5.411,100.0,0.948,0.4,8,0.32,7,0.016,17,0.68
Top 1% Risk,Race,NonHisp Native HI/Other Pac Isl,4,0.5,0.866,4.0,25.0,4.0,0.25,0.4,1,1.0,3,1.0,0,0.0
Top 5% Risk,Race,NonHisp Native HI/Other Pac Isl,23,0.614,0.659,44.0,47.826,44.0,0.565,0.615,8,0.727,7,0.583,3,0.273
Overall,Race,NonHisp Native Am/AK Native,1204,0.798,0.29,100.0,8.638,100.0,0.916,0.331,25,0.24,22,0.02,79,0.76
Top 1% Risk,Race,NonHisp Native Am/AK Native,12,0.5,0.645,6.731,58.333,6.731,0.583,0.737,7,1.0,5,1.0,0,0.0
Top 5% Risk,Race,NonHisp Native Am/AK Native,60,0.636,0.658,27.885,48.333,27.885,0.567,0.658,25,0.862,22,0.71,4,0.138
Overall,Marital Status,Divorced or Separated,9515,0.795,0.264,100.0,6.695,100.0,0.93,0.205,86,0.135,114,0.013,551,0.865
Top 1% Risk,Marital Status,Divorced or Separated,95,0.5,0.761,6.279,42.105,6.279,0.421,0.593,40,1.0,55,1.0,0,0.0
Top 5% Risk,Marital Status,Divorced or Separated,475,0.534,0.673,29.513,39.579,29.513,0.545,0.443,86,0.457,114,0.397,102,0.543
Overall,Marital Status,Married,37211,0.804,0.221,100.0,3.276,100.0,0.951,0.304,399,0.327,1007,0.028,820,0.673
Top 1% Risk,Marital Status,Married,372,0.5,0.842,8.86,29.032,8.86,0.29,0.45,108,1.0,264,1.0,0,0.0
Top 5% Risk,Marital Status,Married,1860,0.579,0.758,38.31,25.108,38.31,0.422,0.426,399,0.854,1007,0.723,68,0.146
Overall,Marital Status,Never Been Married,40997,0.802,0.322,100.0,9.352,100.0,0.896,0.379,1304,0.34,1745,0.047,2530,0.66
Top 1% Risk,Marital Status,Never Been Married,409,0.5,0.733,4.93,46.21,4.93,0.462,0.632,189,1.0,220,1.0,0,0.0
Top 5% Risk,Marital Status,Never Been Married,2049,0.5,0.742,23.996,44.9,23.996,0.449,0.62,920,1.0,1129,1.0,0,0.0
Overall,Marital Status,Widowed,2746,0.786,0.203,100.0,3.132,100.0,0.958,0.219,16,0.186,44,0.017,70,0.814
Top 1% Risk,Marital Status,Widowed,27,0.5,0.861,8.14,25.926,8.14,0.259,0.412,7,1.0,20,1.0,0,0.0
Top 5% Risk,Marital Status,Widowed,137,0.58,0.625,30.233,18.978,30.233,0.606,0.372,16,0.615,44,0.396,10,0.385
Overall,Education,College graduate,27353,0.795,0.228,100.0,4.442,100.0,0.948,0.28,278,0.229,494,0.019,937,0.771
Top 1% Risk,Education,College graduate,273,0.5,0.801,8.066,35.897,8.066,0.359,0.528,98,1.0,175,1.0,0,0.0
Top 5% Risk,Education,College graduate,1367,0.582,0.68,34.65,30.797,34.65,0.534,0.466,278,0.66,494,0.522,143,0.34
Overall,Education,High school grad,23891,0.805,0.276,100.0,6.973,100.0,0.924,0.339,468,0.281,626,0.028,1198,0.719
Top 1% Risk,Education,High school grad,238,0.5,0.761,6.002,42.017,6.002,0.42,0.592,100,1.0,138,1.0,0,0.0
Top 5% Risk,Education,High school grad,1194,0.534,0.74,29.952,41.792,29.952,0.45,0.588,468,0.938,626,0.901,31,0.062
Overall,Education,Less high school,10902,0.811,0.269,100.0,6.669,100.0,0.927,0.302,171,0.235,236,0.023,556,0.765
Top 1% Risk,Education,Less high school,109,0.5,0.704,7.565,50.459,7.565,0.505,0.671,55,1.0,54,1.0,0,0.0
Top 5% Risk,Education,Less high school,545,0.579,0.715,29.711,39.633,29.711,0.484,0.549,171,0.792,236,0.717,45,0.208
Overall,Education,Some coll/Assoc Dg,28323,0.794,0.316,100.0,7.655,100.0,0.9,0.385,888,0.41,1554,0.059,1280,0.59
Top 1% Risk,Education,Some coll/Assoc Dg,283,0.5,0.786,4.982,38.163,4.982,0.382,0.552,108,1.0,175,1.0,0,0.0
Top 5% Risk,Education,Some coll/Assoc Dg,1416,0.5,0.78,25.6,39.195,25.6,0.392,0.563,555,1.0,861,1.0,0,0.0
Overall,Poverty,Income More Than 2X Fed Pov Thresh,55061,0.799,0.261,100.0,5.28,100.0,0.932,0.347,1000,0.344,1859,0.036,1907,0.656
Top 1% Risk,Poverty,Income More Than 2X Fed Pov Thresh,550,0.5,0.79,7.121,37.636,7.121,0.376,0.547,207,1.0,343,1.0,0,0.0
Top 5% Risk,Poverty,Income More Than 2X Fed Pov Thresh,2753,0.529,0.804,33.437,35.307,33.437,0.353,0.522,972,1.0,1781,1.0,0,0.0
Overall,Poverty,Living in Poverty,16771,0.809,0.306,100.0,8.604,100.0,0.906,0.361,445,0.308,580,0.038,998,0.692
Top 1% Risk,Poverty,Living in Poverty,167,0.5,0.713,5.683,49.102,5.683,0.491,0.659,82,1.0,85,1.0,0,0.0
Top 5% Risk,Poverty,Living in Poverty,838,0.5,0.744,25.918,44.63,25.918,0.446,0.617,374,1.0,464,1.0,0,0.0
Overall,Poverty,Income Up to 2X Fed Pov Thresh,18637,0.815,0.287,100.0,7.651,100.0,0.918,0.319,360,0.252,471,0.027,1066,0.748
Top 1% Risk,Poverty,Income Up to 2X Fed Pov Thresh,186,0.5,0.748,5.75,44.086,5.75,0.441,0.612,82,1.0,104,1.0,0,0.0
Top 5% Risk,Poverty,Income Up to 2X Fed Pov Thresh,931,0.543,0.73,27.279,41.783,27.279,0.463,0.59,360,0.925,471,0.869,29,0.075
Overall,Employment Status,Employed full time,46354,0.796,0.253,100.0,5.335,100.0,0.936,0.323,710,0.287,1215,0.028,1763,0.713
Top 1% Risk,Employment Status,Employed full time,463,0.5,0.789,7.076,37.797,7.076,0.378,0.549,175,1.0,288,1.0,0,0.0
Top 5% Risk,Employment Status,Employed full time,2317,0.559,0.749,32.471,34.657,32.471,0.435,0.521,710,0.884,1215,0.803,93,0.116
Overall,Employment Status,Other,24496,0.803,0.272,100.0,6.246,100.0,0.925,0.323,435,0.284,731,0.032,1095,0.716
Top 1% Risk,Employment Status,Other,244,0.5,0.752,6.928,43.443,6.928,0.434,0.606,106,1.0,138,1.0,0,0.0
Top 5% Risk,Employment Status,Other,1224,0.528,0.78,29.804,37.255,29.804,0.386,0.536,435,0.954,731,0.952,21,0.046
Overall,Employment Status,Employed part time,14093,0.797,0.321,100.0,8.494,100.0,0.897,0.388,461,0.385,717,0.056,736,0.615
Top 1% Risk,Employment Status,Employed part time,140,0.5,0.742,5.263,45.0,5.263,0.45,0.621,63,1.0,77,1.0,0,0.0
Top 5% Risk,Employment Status,Employed part time,704,0.5,0.764,24.478,41.619,24.478,0.416,0.588,293,1.0,411,1.0,0,0.0
Overall,Employment Status,Unemployed,5526,0.8,0.336,100.0,10.423,100.0,0.887,0.389,199,0.345,247,0.05,377,0.655
Top 1% Risk,Employment Status,Unemployed,55,0.5,0.751,4.167,43.636,4.167,0.436,0.608,24,1.0,31,1.0,0,0.0
Top 5% Risk,Employment Status,Unemployed,276,0.5,0.727,22.569,47.101,22.569,0.471,0.64,130,1.0,146,1.0,0,0.0
Overall,Family Income,"$50,000 - $74,999",13994,0.817,0.265,100.0,5.738,100.0,0.93,0.365,283,0.352,464,0.035,520,0.648
Top 1% Risk,Family Income,"$50,000 - $74,999",139,0.5,0.759,7.347,42.446,7.347,0.424,0.596,59,1.0,80,1.0,0,0.0
Top 5% Risk,Family Income,"$50,000 - $74,999",699,0.513,0.782,33.748,38.77,33.748,0.388,0.559,271,1.0,428,1.0,0,0.0
Overall,Family Income,"$75,000 or More",32082,0.827,0.26,100.0,4.688,100.0,0.932,0.375,652,0.434,1323,0.043,852,0.566
Top 1% Risk,Family Income,"$75,000 or More",320,0.5,0.818,7.048,33.125,7.048,0.331,0.498,106,1.0,214,1.0,0,0.0
Top 5% Risk,Family Income,"$75,000 or More",1604,0.5,0.809,36.835,34.539,36.835,0.345,0.513,554,1.0,1050,1.0,0,0.0
Overall,Family Income,"$20,000 - $49,999",26898,0.809,0.27,100.0,6.889,100.0,0.927,0.27,363,0.196,476,0.019,1490,0.804
Top 1% Risk,Family Income,"$20,000 - $49,999",268,0.5,0.72,6.962,48.134,6.962,0.481,0.65,129,1.0,139,1.0,0,0.0
Top 5% Risk,Family Income,"$20,000 - $49,999",1344,0.54,0.699,29.52,40.699,29.52,0.509,0.524,363,0.664,476,0.597,184,0.336
Overall,Family Income,"Less than $20,000",17495,0.807,0.316,100.0,9.237,100.0,0.9,0.366,507,0.314,647,0.041,1109,0.686
Top 1% Risk,Family Income,"Less than $20,000",174,0.5,0.735,4.95,45.977,4.95,0.46,0.63,80,1.0,94,1.0,0,0.0
Top 5% Risk,Family Income,"Less than $20,000",874,0.5,0.739,24.567,45.423,24.567,0.454,0.625,397,1.0,477,1.0,0,0.0
Overall,Health Insurance,Private plan,56588,0.812,0.268,100.0,5.519,100.0,0.928,0.361,1153,0.369,2110,0.039,1970,0.631
Top 1% Risk,Health Insurance,Private plan,565,0.5,0.779,7.109,39.292,7.109,0.393,0.564,222,1.0,343,1.0,0,0.0
Top 5% Risk,Health Insurance,Private plan,2829,0.509,0.794,33.429,36.903,33.429,0.369,0.539,1044,1.0,1785,1.0,0,0.0
Overall,Health Insurance,Medicare,3452,0.81,0.204,100.0,3.824,100.0,0.958,0.226,21,0.159,33,0.01,111,0.841
Top 1% Risk,Health Insurance,Medicare,34,0.5,0.804,9.091,35.294,9.091,0.353,0.522,12,1.0,22,1.0,0,0.0
Top 5% Risk,Health Insurance,Medicare,172,0.61,0.586,35.606,27.326,35.606,0.657,0.416,21,0.447,33,0.264,26,0.553
Overall,Health Insurance,Uninsured,10924,0.815,0.273,100.0,7.726,100.0,0.925,0.236,126,0.149,99,0.01,718,0.851
Top 1% Risk,Health Insurance,Uninsured,109,0.5,0.657,7.346,56.881,7.346,0.569,0.725,62,1.0,47,1.0,0,0.0
Top 5% Risk,Health Insurance,Uninsured,546,0.606,0.651,30.924,47.802,30.924,0.571,0.519,126,0.483,99,0.347,135,0.517
Overall,Health Insurance,Medicaid/CHIP,15147,0.798,0.315,100.0,8.992,100.0,0.901,0.35,405,0.297,548,0.04,957,0.703
Top 1% Risk,Health Insurance,Medicaid/CHIP,151,0.5,0.793,4.112,37.086,4.112,0.371,0.541,56,1.0,95,1.0,0,0.0
Top 5% Risk,Health Insurance,Medicaid/CHIP,757,0.5,0.755,23.862,42.933,23.862,0.429,0.601,325,1.0,432,1.0,0,0.0
Overall,Health Insurance,Other,4358,0.831,0.277,100.0,7.228,100.0,0.923,0.374,100,0.317,120,0.03,215,0.683
Top 1% Risk,Health Insurance,Other,43,0.5,0.665,7.619,55.814,7.619,0.558,0.716,24,1.0,19,1.0,0,0.0
Top 5% Risk,Health Insurance,Other,217,0.505,0.737,31.429,45.622,31.429,0.456,0.627,99,1.0,118,1.0,0,0.0
Overall,Urban Residence,Large Metropolitan,40733,0.803,0.275,100.0,5.85,100.0,0.924,0.364,887,0.372,1603,0.042,1496,0.628
Top 1% Risk,Urban Residence,Large Metropolitan,407,0.5,0.801,6.127,35.872,6.127,0.359,0.528,146,1.0,261,1.0,0,0.0
Top 5% Risk,Urban Residence,Large Metropolitan,2036,0.5,0.79,32.102,37.574,32.102,0.376,0.546,765,1.0,1271,1.0,0,0.0
Overall,Urban Residence,Small Metropolitan,32774,0.815,0.273,100.0,6.929,100.0,0.926,0.301,525,0.231,695,0.023,1746,0.769
Top 1% Risk,Urban Residence,Small Metropolitan,327,0.5,0.748,6.341,44.037,6.341,0.44,0.611,144,1.0,183,1.0,0,0.0
Top 5% Risk,Urban Residence,Small Metropolitan,1638,0.533,0.717,29.855,41.392,29.855,0.482,0.553,525,0.774,695,0.724,153,0.226
Overall,Urban Residence,Nonmetropolitan,16962,0.801,0.281,100.0,6.615,100.0,0.921,0.37,393,0.35,612,0.039,729,0.65
Top 1% Risk,Urban Residence,Nonmetropolitan,169,0.5,0.781,5.882,39.053,5.882,0.391,0.562,66,1.0,103,1.0,0,0.0
Top 5% Risk,Urban Residence,Nonmetropolitan,848,0.5,0.772,30.57,40.448,30.57,0.404,0.576,343,1.0,505,1.0,0,0.0
Overall,BMI,Overweight,26555,0.787,0.247,100.0,5.34,100.0,0.939,0.305,357,0.252,565,0.022,1061,0.748
Top 1% Risk,BMI,Overweight,265,0.5,0.789,7.052,37.736,7.052,0.377,0.548,100,1.0,165,1.0,0,0.0
Top 5% Risk,BMI,Overweight,1327,0.566,0.71,32.863,35.117,32.863,0.492,0.514,357,0.766,565,0.656,109,0.234
Overall,BMI,Healthy,29570,0.808,0.276,100.0,6.466,100.0,0.923,0.366,655,0.343,1009,0.036,1257,0.657
Top 1% Risk,BMI,Healthy,295,0.5,0.772,6.224,40.339,6.224,0.403,0.575,119,1.0,176,1.0,0,0.0
