Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,10714,0.79,0.304,100.0,3.463,100.0,0.908,0.304,216,0.582,834,0.081,155,0.418
Top 1% Risk,,,107,0.5,0.87,7.008,24.299,7.008,0.243,0.391,26,1.0,81,1.0,0,0.0
Top 5% Risk,,,535,0.5,0.886,30.997,21.495,30.997,0.215,0.354,115,1.0,420,1.0,0,0.0
Overall,Age,50-64 Years Old,10714,0.79,0.304,100.0,3.463,100.0,0.908,0.304,216,0.582,834,0.081,155,0.418
Top 1% Risk,Age,50-64 Years Old,107,0.5,0.87,7.008,24.299,7.008,0.243,0.391,26,1.0,81,1.0,0,0.0
Top 5% Risk,Age,50-64 Years Old,535,0.5,0.886,30.997,21.495,30.997,0.215,0.354,115,1.0,420,1.0,0,0.0
