Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,8313,0.605,0.11,100.0,1.191,100.0,0.988,0.0,0,0.0,2,0.0,99,1.0
Top 1% Risk,,,83,0.564,0.29,5.051,6.024,5.051,0.916,0.0,0,0.0,2,0.026,5,1.0
Top 5% Risk,,,415,0.609,0.202,15.152,3.614,15.152,0.959,0.0,0,0.0,2,0.005,15,1.0
Overall,Age:SPD,65 or Older:No,8313,0.605,0.11,100.0,1.191,100.0,0.988,0.0,0,0.0,2,0.0,99,1.0
Top 1% Risk,Age:SPD,65 or Older:No,83,0.564,0.29,5.051,6.024,5.051,0.916,0.0,0,0.0,2,0.026,5,1.0
Top 5% Risk,Age:SPD,65 or Older:No,415,0.609,0.202,15.152,3.614,15.152,0.959,0.0,0,0.0,2,0.005,15,1.0
