Subset,Group,Group Value,Patients,AUC-ROC,RMSE,TPR (%),Precision (%),TP %,Accuracy,F1 Score,TP,TPR,FP,FPR,FN,FNR
Overall,All,All,1204,0.794,0.286,100.0,8.638,100.0,0.918,0.298,21,0.202,16,0.015,83,0.798
Top 1% Risk,,,12,0.5,0.5,8.654,75.0,8.654,0.75,0.857,9,1.0,3,1.0,0,0.0
Top 5% Risk,,,60,0.62,0.629,27.885,48.333,27.885,0.6,0.636,21,0.724,16,0.516,8,0.276
Overall,Race,NonHisp Native Am/AK Native,1204,0.794,0.286,100.0,8.638,100.0,0.918,0.298,21,0.202,16,0.015,83,0.798
Top 1% Risk,Race,NonHisp Native Am/AK Native,12,0.5,0.5,8.654,75.0,8.654,0.75,0.857,9,1.0,3,1.0,0,0.0
Top 5% Risk,Race,NonHisp Native Am/AK Native,60,0.62,0.629,27.885,48.333,27.885,0.6,0.636,21,0.724,16,0.516,8,0.276
