,intercept,Year,Drug or Alcohol Use Disorder (any past year),Serious Psychological Distress (any past month),Serious Psychological Distress (any past year),Received Substance Use or Mental Health Treatment (any past year),Major Depressive Episode (any past year),Alcohol Use Disorder (any past year),Marijuana Use Disorder (any past year),Stimulant Use w/o RX (any past year),Sedative Use w/o RX (any past year),Cocaine Use Disorder (any past year),Heroin Use Disorder (any past year),Hallucinogen Use Disorder (any past year),Inhalant Use Disorder (any past year),Oxycontin Use (any past year),Drug Use Disorder (any past year),Binge Alcohol Use (any past month),Heavy Alcohol Use (any past month),Difficulty in Work Response (any past year),Felt Tired/Low Energy (nearly every day),Felt Worthless (nearly every day),Age_18-25 Years Old,Age_26-34 Years Old,Age_35-49 Years Old,Age_50-64 Years Old,Age_65 or Older,Gender_Female,Gender_Male,Race_Hispanic,Race_NonHisp Asian,Race_NonHisp Black/Afr Am,Race_NonHisp Native Am/AK Native,Race_NonHisp Native HI/Other Pac Isl,Race_NonHisp White,Race_NonHisp more than,Marital Status_Divorced or Separated,Marital Status_Married,Marital Status_Never Been Married,Marital Status_Widowed,Education_College graduate,Education_High school grad,Education_Less high school,Education_Some coll/Assoc Dg,Poverty_Income More Than 2X Fed Pov Thresh,Poverty_Income Up to 2X Fed Pov Thresh,Poverty_Living in Poverty,Employment Status_Employed full time,Employment Status_Employed part time,Employment Status_Other,Employment Status_Unemployed,"Family Income_$20,000 - $49,999","Family Income_$50,000 - $74,999","Family Income_$75,000 or More","Family Income_Less than $20,000",Health Insurance_Medicaid/CHIP,Health Insurance_Medicare,Health Insurance_Other,Health Insurance_Private plan,Health Insurance_Uninsured,Urban Residence_Large Metropolitan,Urban Residence_Nonmetropolitan,Urban Residence_Small Metropolitan,BMI_Healthy,BMI_Obesity,BMI_Overweight,BMI_Severe Obesity,BMI_Underweight,BMI_Unknown
Large Metropolitan:No,0.0,0.0,0.0,0.6141461045427359,0.8581942316631462,0.0,0.7566557553926402,0.0,-0.02663518977070024,0.0,0.09117401390654752,0.06198640932703548,0.0,0.0,0.0,0.03176041824601563,0.4149141170678758,0.0,0.0,0.30661881410167546,0.0,0.789699238290597,0.0,-0.22060514836093192,-0.3528671354144616,-0.4361806622479834,-0.5522639249610191,-1.4539873962309395,-1.1194810402721656,-0.3407148884308595,-0.23198566456762823,-0.3029736012721075,-0.07616737147475525,-0.030854304725030892,-0.29947931481902934,0.0,-0.04125422117257169,-0.21637133244683326,-0.022437465865702416,-0.0768378124498553,-0.05084449520622831,-0.08018916827070938,0.0,0.0,-0.676627596366992,-0.616045922962283,-0.7589297869004296,-0.31859892195329226,-0.1219428904537857,-0.19542850870688927,0.0,-0.10858605208396574,-0.11098561381718723,-0.2202287464073166,0.0,-0.10504688567745868,-0.026444029921887196,-0.06576659090954681,-0.1307644236107347,0.0,-0.7996807816464275,0.0,-0.2244516510287101,-0.11803298550235035,-0.0271392041759013,-0.09736330497349192,0.0,0.0,0.0
Large Metropolitan:Yes,0.06966922062113948,-0.003039156211510701,0.09796410856340615,0.058382605288459205,0.03669877659346478,0.04290077829506639,0.0,0.020470630341811978,0.0,0.0,0.0,0.0,-0.11520910113059744,0.0,0.0,0.19122667073094513,0.0,-0.029768797062024375,0.0,0.0,0.0,0.0,0.17671020755519917,0.0,0.09675504652234887,0.0,0.0,0.0,0.003213284123506842,0.0,0.0,0.03521098883222512,0.0,-0.8990066596784356,0.0,0.0,0.06508356844758216,0.03859378051619214,0.0,0.0,0.0,0.06455635311395459,0.04019605868418301,0.0,0.1428127231518526,0.0,0.04916096236113284,0.09242298183421356,0.0,0.0,0.0,0.0,0.0,0.0,0.007568759651006531,0.0,0.0,0.0,0.025949251148689973,0.18505774421050136,0.028300434609539314,0.0,0.0,0.024848183608340724,0.0,0.0,0.0,0.0,0.0
Nonmetropolitan:No,-0.5193520337949606,0.0,0.0,0.025644614527837915,0.21591076699376469,0.0,0.3473175031042041,0.0,0.0,0.0,0.0,0.2580842761640841,0.35837986389473886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028912660695692923,0.1291969634315762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02157952043565338,0.0,0.0,0.0,0.0,-0.0049861348377075836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.053159749472971744,0.0,0.0,0.0,0.0,-0.014163997977332993,0.0,0.0,0.0,0.0,0.0,0.0,-0.5099874041450474,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nonmetropolitan:Yes,0.0,-0.045373514032902816,0.0,-0.023262586465504484,-0.06477259858894119,0.0,0.0,0.0,-0.30223597315425965,0.0,0.015936438722797167,-0.1757497521938453,0.0,0.5462668730917005,0.48615452441527834,0.0,0.2800672459374664,0.0,0.0,-0.19424049326509843,0.0,0.0626054515203385,0.057127263969854736,-0.09829546386604471,0.0,0.0,0.0,0.0,0.0,-0.023611982151282764,-0.40150176484884703,0.0,0.0,-0.05847589448595154,0.0,-0.3611758325688166,0.0,0.0,0.0,0.0,0.07296625001955317,0.0,0.0,-0.1274365935316455,0.08137328996204275,0.0,-0.11345336447424748,0.0,0.0,0.0,0.0,-0.02901635764840256,0.0,0.02281995698907626,0.0,0.0,-0.45240652075596877,0.0,0.06312646929786778,0.0,0.0,0.0,0.0,-0.053663562836434885,0.0,0.05055575218687409,0.0,0.0,0.19648323471361331
Small Metropolitan:No,-0.3787200209726388,0.0,0.0,0.11663882382935119,0.43455031938830396,0.0,0.08479913325793162,0.0,0.0,0.0,0.0,0.0,0.0,0.10901910188014405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04097584416282693,0.0,0.0,0.0,0.0,0.0,0.0,-0.07989338471646144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03368316096942525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06306118487393374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.37213902321581255,0.0,0.0,0.0,0.0,0.0,-0.012037759763359409
Small Metropolitan:Yes,0.0,0.00015647176678413357,0.018186180107159798,0.0,0.0,0.0,0.0,0.10444283978906405,-0.03734266368779427,0.0,0.3692689300813995,0.0,-0.3097994502342771,-0.05173172397646623,0.41560767513041447,0.0,0.0,0.0,0.0,0.044171109517058674,0.0,-0.016827031937586133,0.0,0.0,-0.15658877179093283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00038533353382470923,-0.06147801440610484,0.08397648521709684,0.0,-0.07285226147890156,0.0,0.0,-0.04612057262605572,0.0,0.0,0.013530678586979752,0.0,0.0,0.0,0.0,-0.13159259954945635,0.0,-0.009840696103992241,0.0,0.0,0.0,0.0,-0.0721077573391883,0.0,0.021524594860237122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0696991617702479,0.0
