,intercept,Year,Drug or Alcohol Use Disorder (any past year),Serious Psychological Distress (any past month),Serious Psychological Distress (any past year),Received Substance Use or Mental Health Treatment (any past year),Major Depressive Episode (any past year),Alcohol Use Disorder (any past year),Marijuana Use Disorder (any past year),Stimulant Use w/o RX (any past year),Sedative Use w/o RX (any past year),Cocaine Use Disorder (any past year),Heroin Use Disorder (any past year),Hallucinogen Use Disorder (any past year),Inhalant Use Disorder (any past year),Oxycontin Use (any past year),Drug Use Disorder (any past year),Binge Alcohol Use (any past month),Heavy Alcohol Use (any past month),Difficulty in Work Response (any past year),Felt Tired/Low Energy (nearly every day),Felt Worthless (nearly every day),Age_18-25 Years Old,Age_26-34 Years Old,Age_35-49 Years Old,Age_50-64 Years Old,Age_65 or Older,Race_Hispanic,Race_NonHisp Asian,Race_NonHisp Black/Afr Am,Race_NonHisp Native Am/AK Native,Race_NonHisp Native HI/Other Pac Isl,Race_NonHisp White,Race_NonHisp more than,Marital Status_Divorced or Separated,Marital Status_Married,Marital Status_Never Been Married,Marital Status_Widowed,Education_College graduate,Education_High school grad,Education_Less high school,Education_Some coll/Assoc Dg,Poverty_Income More Than 2X Fed Pov Thresh,Poverty_Income Up to 2X Fed Pov Thresh,Poverty_Living in Poverty,Employment Status_Employed full time,Employment Status_Employed part time,Employment Status_Other,Employment Status_Unemployed,"Family Income_$20,000 - $49,999","Family Income_$50,000 - $74,999","Family Income_$75,000 or More","Family Income_Less than $20,000",Health Insurance_Medicaid/CHIP,Health Insurance_Medicare,Health Insurance_Other,Health Insurance_Private plan,Health Insurance_Uninsured,Urban Residence_Large Metropolitan,Urban Residence_Nonmetropolitan,Urban Residence_Small Metropolitan,BMI_Healthy,BMI_Obesity,BMI_Overweight,BMI_Severe Obesity,BMI_Underweight,BMI_Unknown
Female,0.0,0.0020440367774410403,0.0762229920267316,0.6654919006387204,1.1025001454279248,0.4681920414778085,0.757359192326194,0.013541499072240497,0.0,0.0,0.1428567354754669,0.15376575984573518,-0.01019347944351908,0.04604609166227827,0.15906556510138395,0.06600287942380705,0.38610065018926915,-0.004632288932788314,0.039051141454570816,0.3861620075770771,0.0,0.8067647004694304,0.0,-0.3241667737326427,-0.4788176725933314,-0.5277595766479213,-0.6390683912843497,-0.3985169898063775,-0.2434994401868741,-0.2723005984418791,-0.08567837944294178,-0.26959179334353855,-0.32252893134006927,-0.00407995551037209,-0.3555792897311015,-0.5141404350573547,-0.31453616037722293,-0.5543531508688193,-0.22322491297190178,-0.14257624553262266,-0.12333536417032183,-0.10797706626463681,-1.1138747398049629,-1.108689997169461,-1.273714776512831,-0.5137284843870357,-0.411210297571444,-0.48415345523855735,-0.2886294521969334,-0.15526382441211697,-0.16772089978161867,-0.2819201756398878,-0.04594573687800001,-0.4197729307413581,-0.4096840213651879,-0.3670687554461517,-0.4377306903442357,-0.2731923695197946,-0.8953086898221496,-0.8059460575367681,-0.8009998348466142,-0.15454988002248302,-0.07335173249522928,-0.14851090386810284,0.0,0.0,0.0
Male,0.0,0.0,0.0027265070166735466,0.0,0.0,0.13873346831888816,0.0,0.0,-0.009823023811817544,0.0,0.0,0.01368304587952349,-0.293694089017789,0.08106897079743,0.0,0.2757899542731232,0.0,0.0,0.0,0.13983948758615677,0.19612438042310165,0.0,-0.04420630314646964,0.0,0.0,0.0,0.0,0.0,-0.08582640640523688,-0.08590814274638496,0.0,-0.06254034985192702,0.0,0.0,0.0,0.0,0.0,0.2048208315797438,0.0,0.0,0.0,0.0,0.0,0.0,0.04703612897771537,0.0,-0.02264636820291301,0.0,-0.0006196026992098557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006256476637715727,0.0,0.0,-0.1638830768237841
