,coefficient
Major Depressive Episode (any past year),286.86997608395126
Serious Psychological Distress (any past month),221.6605250237231
Cocaine Use Disorder (any past year),209.856351946532
Difficulty in Work Response (any past year),167.35586617139109
Marijuana Use Disorder (any past year),165.61450545830763
Serious Psychological Distress (any past year),164.86964181695114
Oxycontin Use (any past year),-163.38385907282904
Received Substance Use or Mental Health Treatment (any past year),163.1911937153541
"Family Income_Less than $20,000",162.93510622471427
Marital Status_Married,-161.8283913699167
Race_NonHisp more than,148.3580190756494
Heavy Alcohol Use (any past month),145.04235758614738
"Family Income_$75,000 or More",-144.16854727595683
Heroin Use Disorder (any past year),-133.5929031381973
Health Insurance_Other,131.5691121621324
Hallucinogen Use Disorder (any past year),120.64113558179666
Race_NonHisp White,112.9842931411486
BMI_Severe Obesity,107.13523275347687
Employment Status_Employed full time,-96.16474336971795
Race_NonHisp Black/Afr Am,-95.23510913969129
Race_NonHisp Native Am/AK Native,-94.73931668470233
Gender_Male,94.37685140561018
Sedative Use w/o RX (any past year),-90.33319032554833
BMI_Underweight,-87.61181340560698
Marital Status_Widowed,87.07332728482696
Marital Status_Divorced or Separated,80.97533026919919
Inhalant Use Disorder (any past year),-80.82994818112071
Urban Residence_Small Metropolitan,78.68886244774727
"Family Income_$20,000 - $49,999",77.37818809725013
Alcohol Use Disorder (any past year),73.64326183003602
Race_Hispanic,-70.64689519254684
Stimulant Use w/o RX (any past year),68.86069974254328
Health Insurance_Medicare,-68.844271123237
Binge Alcohol Use (any past month),-68.6352070932589
Employment Status_Employed part time,67.33980624873764
Education_Some coll/Assoc Dg,59.03328912453425
"Family Income_$50,000 - $74,999",-51.85011817266132
Urban Residence_Large Metropolitan,-51.79299124820541
Gender_Female,-50.037784260704065
Poverty_Income More Than 2X Fed Pov Thresh,45.35298533555629
Employment Status_Other,44.33654785094788
Health Insurance_Uninsured,-44.25014963057792
Drug Use Disorder (any past year),42.957479347813695
Education_Less high school,-39.51083962519798
Marital Status_Never Been Married,38.04633031394636
Health Insurance_Medicaid/CHIP,32.53412914912423
Felt Tired/Low Energy (nearly every day),30.526682864621122
Drug or Alcohol Use Disorder (any past year),29.54027316661649
Poverty_Income Up to 2X Fed Pov Thresh,-29.47177120293185
BMI_Overweight,29.233884270258063
Employment Status_Unemployed,28.792411157860776
Poverty_Living in Poverty,28.424665148303905
Year,-26.852423869122244
Race_NonHisp Native HI/Other Pac Isl,24.484637756996328
Race_NonHisp Asian,19.259038243537468
Felt Worthless (nearly every day),17.770220625885955
Urban Residence_Nonmetropolitan,17.409933733042763
Education_High school grad,13.851950162208938
Education_College graduate,10.94441110154915
BMI_Obesity,-10.039904757948545
BMI_Healthy,8.080815401703285
Health Insurance_Private plan,-6.6785276887783445
BMI_Unknown,-2.4380816135877614
