,intercept,Year,Drug or Alcohol Use Disorder (any past year),Serious Psychological Distress (any past month),Serious Psychological Distress (any past year),Received Substance Use or Mental Health Treatment (any past year),Major Depressive Episode (any past year),Alcohol Use Disorder (any past year),Marijuana Use Disorder (any past year),Stimulant Use w/o RX (any past year),Sedative Use w/o RX (any past year),Cocaine Use Disorder (any past year),Heroin Use Disorder (any past year),Hallucinogen Use Disorder (any past year),Inhalant Use Disorder (any past year),Oxycontin Use (any past year),Drug Use Disorder (any past year),Binge Alcohol Use (any past month),Heavy Alcohol Use (any past month),Difficulty in Work Response (any past year),Felt Tired/Low Energy (nearly every day),Felt Worthless (nearly every day),Age_18-25 Years Old,Age_26-34 Years Old,Age_35-49 Years Old,Age_50-64 Years Old,Age_65 or Older,Gender_Female,Gender_Male,Race_Hispanic,Race_NonHisp Asian,Race_NonHisp Black/Afr Am,Race_NonHisp Native Am/AK Native,Race_NonHisp Native HI/Other Pac Isl,Race_NonHisp White,Race_NonHisp more than,Marital Status_Divorced or Separated,Marital Status_Married,Marital Status_Never Been Married,Marital Status_Widowed,Education_College graduate,Education_High school grad,Education_Less high school,Education_Some coll/Assoc Dg,Poverty_Income More Than 2X Fed Pov Thresh,Poverty_Income Up to 2X Fed Pov Thresh,Poverty_Living in Poverty,Employment Status_Employed full time,Employment Status_Employed part time,Employment Status_Other,Employment Status_Unemployed,"Family Income_$20,000 - $49,999","Family Income_$50,000 - $74,999","Family Income_$75,000 or More","Family Income_Less than $20,000",Health Insurance_Medicaid/CHIP,Health Insurance_Medicare,Health Insurance_Other,Health Insurance_Private plan,Health Insurance_Uninsured,BMI_Healthy,BMI_Obesity,BMI_Overweight,BMI_Severe Obesity,BMI_Underweight,BMI_Unknown
Large Metropolitan,0.0,0.0,0.08276489947076791,0.6760661692039666,1.1205950596939027,0.5517834163529841,0.7701142837564926,0.0,-0.06528006028937042,-0.013820993342827917,0.0,0.17165904469122464,-0.18738563405450487,0.09875608687700012,0.18238909570577289,0.18343710978436134,0.40628625881330116,-0.007299049525207603,0.053303857446370395,0.4414368660826027,0.027650119182840084,0.8295382196163377,0.0,-0.3457262355175167,-0.46652760009407734,-0.5629116515261874,-0.6511730956011813,-1.6299469818915158,-1.3517890318157888,-0.4490011779885062,-0.34168518917397117,-0.3460659456487273,-0.0865631954620068,-0.3846757790664244,-0.34992583182176895,-0.016259155669426126,-0.2638296909667181,-0.4213476742041279,-0.23663997281933408,-0.44248355602471157,-0.16013738778552594,-0.05554030666000339,-0.054504883998065176,-0.028179702030087347,-0.8860559607351782,-0.9086572073683807,-1.07634557380453,-0.4253245122556583,-0.30401342822640426,-0.381947859088563,-0.18343080752123525,-0.14319485641782964,-0.16680206132028627,-0.2939033555713942,0.0,-0.2566458190471712,-0.2651903075083003,-0.18442267584243138,-0.2786136941086318,-0.11074790246261934,-0.12600522075164802,-0.05930385250451894,-0.14639796300988417,0.0,0.0,-0.031275182848130106
Nonmetropolitan,0.0,0.0,0.0,-0.07632255831222197,-0.07010670839366895,0.0004980170907060587,0.07781583219003582,-0.018987890469938113,-0.15482343016097613,0.0,0.4232090272912762,0.0,0.5383106113247159,0.11960977504249498,0.0,-0.05825001135311284,0.24234438678024434,0.00867170662401465,0.03330980374391558,-0.06887545656828117,0.043001617141130294,0.1294778367667733,0.005026023501599465,-0.09915110801434186,0.0,-0.020345201620329156,0.0017058803384907518,-0.04315566565010173,0.02074940551261794,0.0,-0.22875575399058445,-0.11692600913007388,-0.26749847772844243,-0.5816508420525645,0.0,-0.4524465403027374,-0.03867661857488848,0.0,0.0,0.31437375506769033,0.23204636676224566,0.0,0.180991179021692,-0.013540834646042214,0.02453860438496964,0.0,-0.06695357180861047,0.0,0.0,0.0,0.12319921176941717,-0.007062989436504923,0.0,0.0,0.0,0.0,-0.15036279141011444,0.0,0.04505348551863378,-0.07089952039050414,-0.13303420135774194,0.0,0.03629080384269775,-0.02236727344221993,0.0,0.13109020141515282
Small Metropolitan,0.0,0.07017732874101211,0.027621042133644167,0.0,0.007088939064530885,-0.056047129642946794,0.035243321776354614,0.13441929606511815,-0.014733061651598961,-0.005294366599104001,0.49453884747930027,0.0,-0.2798192548212213,0.0,0.05117928113636325,-0.015317428284162873,0.06857638383605483,-0.05719542740080483,0.0,0.141696104672631,-0.0002050673239538512,-0.05872446020578818,-0.08967033991023905,0.0,-0.12806961285617544,0.0,0.04559277811313928,0.0,0.0,0.04504612275468388,0.0,-0.012471249246225563,-0.08738855010686562,0.0,0.0,0.03769512885560526,-0.042275101646738866,0.0,0.0,-0.11532489734125002,0.0,-0.04066577692560448,-0.0502708212289193,0.0,0.0,0.0,0.0,0.0,-0.061037616579127416,0.00937222464041929,-0.09195044362113762,0.0,-0.04747900709769803,-0.01749786386544323,0.02172068782728181,0.04458210312725766,0.0,-0.1320742487494438,0.0,0.0,-0.048977666201985064,0.0,0.0,0.039135357852032523,-0.0542008784207327,-0.1172897462588573
