,intercept,Year,Drug or Alcohol Use Disorder (any past year),Serious Psychological Distress (any past month),Serious Psychological Distress (any past year),Received Substance Use or Mental Health Treatment (any past year),Major Depressive Episode (any past year),Alcohol Use Disorder (any past year),Marijuana Use Disorder (any past year),Stimulant Use w/o RX (any past year),Sedative Use w/o RX (any past year),Cocaine Use Disorder (any past year),Heroin Use Disorder (any past year),Hallucinogen Use Disorder (any past year),Inhalant Use Disorder (any past year),Oxycontin Use (any past year),Drug Use Disorder (any past year),Binge Alcohol Use (any past month),Heavy Alcohol Use (any past month),Difficulty in Work Response (any past year),Felt Tired/Low Energy (nearly every day),Felt Worthless (nearly every day),Age_18-25 Years Old,Age_26-34 Years Old,Age_35-49 Years Old,Age_50-64 Years Old,Age_65 or Older,Gender_Female,Gender_Male,Race_Hispanic,Race_NonHisp Asian,Race_NonHisp Black/Afr Am,Race_NonHisp Native Am/AK Native,Race_NonHisp Native HI/Other Pac Isl,Race_NonHisp White,Race_NonHisp more than,Marital Status_Divorced or Separated,Marital Status_Married,Marital Status_Never Been Married,Marital Status_Widowed,Education_College graduate,Education_High school grad,Education_Less high school,Education_Some coll/Assoc Dg,Poverty_Income More Than 2X Fed Pov Thresh,Poverty_Income Up to 2X Fed Pov Thresh,Poverty_Living in Poverty,Employment Status_Employed full time,Employment Status_Employed part time,Employment Status_Other,Employment Status_Unemployed,"Family Income_$20,000 - $49,999","Family Income_$50,000 - $74,999","Family Income_$75,000 or More","Family Income_Less than $20,000",Health Insurance_Medicaid/CHIP,Health Insurance_Medicare,Health Insurance_Other,Health Insurance_Private plan,Health Insurance_Uninsured,Urban Residence_Large Metropolitan,Urban Residence_Nonmetropolitan,Urban Residence_Small Metropolitan
Healthy,0.0,0.0,0.0,0.6628339388843354,1.0777034315649152,0.4425212254076432,0.7716338235682566,0.010412608631439417,0.0,0.0,0.0,0.0,-0.1429119035602124,0.13975068410506317,0.06522989942737448,0.07216562864563725,0.3951699653213253,0.0,0.0,0.32950163796891585,0.00038049266484555135,0.8435075906487219,0.0,-0.24594421440291303,-0.3579730380998451,-0.43029884675831603,-0.6342228046756092,-1.6175111558196729,-1.3301553754716067,-0.292497813951369,-0.14526210338568757,-0.09253955398341188,0.0,-0.003435204101489137,-0.22889897834351,0.0,-0.17975896158446408,-0.3545025021685001,-0.14605546034757252,-0.3419603569691688,-0.1335133187751187,-0.05155886192221404,-0.05714475130453311,0.0,-0.7272271771975585,-0.6727931441159278,-0.8491965614874272,-0.3257698090081999,-0.20980696787859984,-0.22066726278296692,-0.0350952109300544,-0.029750546089531663,-0.039375423560201156,-0.19399372214459623,0.0,-0.16979871524544354,-0.18852577410756569,-0.09322432843081599,-0.15650139071816183,0.0,-0.7226355560744055,-0.6181960237343748,-0.6313060946616029
Obesity,0.0,0.0,0.0,0.0,0.03265985685388007,0.03895425679483804,0.025459018853872153,0.0,0.0,0.0,0.27971621374403405,0.1825937314212056,0.2293341478649958,0.0,0.049895454209986846,0.0,0.0,0.0,0.0,0.030144565648646673,0.0,0.0,0.02947193830995361,0.0,-0.023186408716389734,-0.07592714118673641,0.0,0.0,0.0,0.0,-0.3733819672483052,-0.17464362023325147,0.0,0.0,0.0,0.05975447112366675,0.0,0.0,0.0,0.0,0.0,-0.052547431789747294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004582562898344051,0.0,0.0,0.0
Overweight,-0.11063586623064406,0.0,0.0,0.0,0.0,0.038110324609793,0.04805398176722341,0.0,0.0,0.0,0.0,0.2206587759601953,0.0,0.0,0.0,0.07877665948719248,0.0,0.0,0.0,0.08534429718730827,0.03665120324287894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03495000202663926,0.0,0.0,-0.019280383815011126,0.0,-0.0447988291187889,0.0,0.0,0.0,-0.0019056162690479306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09872774097946195,0.0,0.0,0.0,0.0,0.0,-0.01996314509253037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004579990735864977,0.0,0.0
Severe Obesity,0.0,0.0,0.011925838139050205,0.056786218972861964,0.08782832275365314,0.0,0.0,0.0,0.11100914949728742,0.0,0.3964963659088507,-0.2370912580073842,-0.38178179042642385,0.08771147846992117,0.0,0.0,0.084294082869322,-0.004263056913732812,-0.03793833915468754,0.0,0.0,0.0,0.04136820232844238,0.0,0.0,0.0,-0.09218196856186475,0.0,0.0,-0.20124987754263915,0.0,0.0,-0.40651172387459283,0.0,0.0,-0.08560101112763674,-0.29031672493420846,0.04164530916466385,0.0,-0.15057685255472464,0.0,0.0,0.035061152229041256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1465970615047681,0.0,0.0,0.0,0.0,0.0,-0.3769689448879624,0.17326228982051747,0.0,0.0,0.0,-0.007597374358291663,0.059108066266148084
Underweight,0.0,0.1024509612911573,-0.1196017334786082,0.0,-0.006473376105081352,-0.04498634212393322,0.0991543029652739,0.0,-0.6418565153846264,0.0,-0.03270689705582248,0.0,-0.3192903466977731,0.023646965012060702,0.0,-0.3082148984078572,0.38275045136675584,0.26552694979579405,0.0,-0.062372777381953584,0.0,0.23600844513233837,0.0,-0.012492943219639533,0.0,0.41831982252772204,-0.24027188932896185,0.0,0.0,0.19629296413992334,0.0,0.0,-0.27165579577838544,0.0,-0.012917582738626844,0.23261408458178195,-0.31214065619334386,0.0,0.0,0.0,0.0,0.0,-0.05223246076060161,0.0,0.0,0.002173579568805805,0.0,-0.05656876375705693,-0.02669234755283072,0.15739722842007076,0.0,0.14183289621180042,-0.056213232817881306,0.0,0.0,0.0,-0.25265999337293327,-0.35130294236265575,0.0,0.0,0.0,0.0,-0.03203774630283401
Unknown,0.0,0.0,0.10077806873233731,0.0,0.11711089870390665,0.2731509146600969,0.0,0.10214436788287169,0.0,-0.07286869277913799,0.0,-0.22478210566357898,0.0,0.0,0.5097403262566526,0.0,-0.06337518413095425,0.0,0.42845761948396816,0.0,0.0,0.0,0.0,0.0,0.0,-0.10775600445855532,0.0,0.0,-0.2436089028376538,-0.05231123244405864,0.0,0.0,0.1441114452154962,0.0,0.0,0.0,0.0,-0.021242669797614456,0.0,0.0,0.0,0.0,-0.16320843050100134,0.0,0.0,-0.24735410124528903,-0.07850978461082733,0.0,-0.012164495251271735,-0.03424195988528545,0.0,0.0,0.0,0.0,-0.11888999779942577,0.0,0.0,0.0,0.0,0.0,0.0,0.027907420920333586,-0.06381486607194886
